Feature,Importancia,Horizonte,Label,Categoria
cases_lag1,0.618,2,h=2,Casos propios
cases_lag2,0.336,2,h=2,Casos propios
cases_lag3,0.192,2,h=2,Casos propios
cases_lag4,0.09,2,h=2,Casos propios
incidencia_lag1,0.873,2,h=2,Casos propios
incidencia_lag2,0.232,2,h=2,Casos propios
incidencia_lag3,0.429,2,h=2,Casos propios
incidencia_lag4,0.219,2,h=2,Casos propios
casos_vecinas_lag1,0.109,2,h=2,Vecindad espacial
incidencia_vecinas_lag1,0.141,2,h=2,Vecindad espacial
temp_mean,0.35,2,h=2,Temperatura
precipitation,0.219,2,h=2,Precipitación
humidity_mean,0.253,2,h=2,Humedad/Calor
heat_index_mean,0.152,2,h=2,Humedad/Calor
temp_mean_anomaly,0.176,2,h=2,Temperatura
precipitation_anomaly,0.084,2,h=2,Precipitación
humidity_mean_anomaly,0.075,2,h=2,Humedad/Calor
temp_mean_lag1,0.412,2,h=2,Temperatura
temp_mean_lag2,0.195,2,h=2,Temperatura
temp_mean_lag3,0.335,2,h=2,Temperatura
temp_mean_lag4,4.206,2,h=2,Temperatura
precipitation_lag1,0.211,2,h=2,Precipitación
precipitation_lag2,0.048,2,h=2,Precipitación
precipitation_lag3,0.154,2,h=2,Precipitación
precipitation_lag4,0.129,2,h=2,Precipitación
humidity_mean_lag1,0.071,2,h=2,Humedad/Calor
humidity_mean_lag2,0.174,2,h=2,Humedad/Calor
humidity_mean_lag3,0.633,2,h=2,Humedad/Calor
humidity_mean_lag4,2.011,2,h=2,Humedad/Calor
heat_index_mean_lag1,1.236,2,h=2,Humedad/Calor
heat_index_mean_lag2,0.338,2,h=2,Humedad/Calor
heat_index_mean_lag3,1.853,2,h=2,Humedad/Calor
heat_index_mean_lag4,5.957,2,h=2,Humedad/Calor
temp_mean_anomaly_lag1,0.051,2,h=2,Temperatura
temp_mean_anomaly_lag2,0.045,2,h=2,Temperatura
temp_mean_anomaly_lag3,0.035,2,h=2,Temperatura
temp_mean_anomaly_lag4,0.442,2,h=2,Temperatura
precipitation_anomaly_lag1,0.088,2,h=2,Precipitación
precipitation_anomaly_lag2,0.223,2,h=2,Precipitación
