Modelo,Split,Horizonte,Comuna,Nombre,MAE,RMSE,R2,N,media_real,max_real
XGBoost,Validation,1,1,C1 Puerto Madero,309.68,475.75,0.025,26,435.31,1391.0
LSTM+aug,Validation,1,1,C1 Puerto Madero,266.7,459.22,-0.45,14,270.36,1257.0
Persistencia,Validation,1,2,C2 Recoleta,4.04,5.98,0.799,26,11.88,48.0
XGBoost,Validation,1,2,C2 Recoleta,5.23,8.25,0.622,26,11.77,48.0
LSTM+aug,Validation,1,2,C2 Recoleta,12.54,13.02,-0.273,14,8.57,34.0
Persistencia,Validation,1,3,C3 Balvanera,9.58,12.77,0.896,26,35.27,120.0
XGBoost,Validation,1,3,C3 Balvanera,11.3,16.52,0.827,26,35.12,120.0
LSTM+aug,Validation,1,3,C3 Balvanera,24.67,35.68,-0.081,14,24.36,112.0
Persistencia,Validation,1,4,C4 La Boca,23.38,39.86,0.794,26,74.04,296.0
XGBoost,Validation,1,4,C4 La Boca,29.08,44.1,0.748,26,73.88,296.0
LSTM+aug,Validation,1,4,C4 La Boca,54.73,92.65,-0.236,14,55.07,296.0
Persistencia,Validation,1,5,C5 Almagro,9.69,15.8,0.838,26,32.15,118.0
XGBoost,Validation,1,5,C5 Almagro,11.77,18.07,0.79,26,32.0,118.0
LSTM+aug,Validation,1,5,C5 Almagro,23.51,32.65,-0.05,14,21.71,109.0
Persistencia,Validation,1,6,C6 Caballito,8.73,13.52,0.836,26,27.42,103.0
XGBoost,Validation,1,6,C6 Caballito,9.65,17.54,0.726,26,27.31,103.0
LSTM+aug,Validation,1,6,C6 Caballito,19.39,24.6,-0.006,14,16.5,83.0
Persistencia,Validation,1,7,C7 Flores,8.77,14.37,0.859,26,34.62,111.0
XGBoost,Validation,1,7,C7 Flores,13.29,21.11,0.696,26,34.54,111.0
LSTM+aug,Validation,1,7,C7 Flores,22.03,30.75,-0.045,14,21.0,105.0
Persistencia,Validation,1,8,C8 Lugano,11.5,16.17,0.783,26,35.35,106.0
XGBoost,Validation,1,8,C8 Lugano,13.67,21.35,0.626,26,35.15,106.0
LSTM+aug,Validation,1,8,C8 Lugano,23.89,31.25,-0.07,14,22.57,81.0
Persistencia,Validation,1,9,C9 Liniers,5.54,8.7,0.776,26,18.19,62.0
XGBoost,Validation,1,9,C9 Liniers,16.08,27.73,-1.273,26,18.19,62.0
LSTM+aug,Validation,1,9,C9 Liniers,15.24,18.01,-0.001,14,13.93,62.0
Persistencia,Validation,1,10,C10 Floresta,5.65,8.25,0.868,26,20.31,69.0
XGBoost,Validation,1,10,C10 Floresta,19.85,34.6,-1.298,26,20.23,69.0
LSTM+aug,Validation,1,10,C10 Floresta,14.67,16.68,-0.018,14,12.36,50.0
Persistencia,Validation,1,11,C11 Villa del Parque,10.15,16.34,0.868,26,38.69,132.0
XGBoost,Validation,1,11,C11 Villa del Parque,14.73,24.42,0.705,26,38.58,132.0
LSTM+aug,Validation,1,11,C11 Villa del Parque,18.17,22.1,-0.002,14,15.57,68.0
Persistencia,Validation,1,12,C12 Coghlan,12.15,17.61,0.85,26,35.65,153.0
XGBoost,Validation,1,12,C12 Coghlan,14.48,23.28,0.739,26,35.54,153.0
LSTM+aug,Validation,1,12,C12 Coghlan,19.03,24.12,-0.009,14,16.86,81.0
Persistencia,Validation,1,13,C13 Belgrano,11.96,18.71,0.813,26,33.5,146.0
XGBoost,Validation,1,13,C13 Belgrano,14.08,24.72,0.674,26,33.46,146.0
LSTM+aug,Validation,1,13,C13 Belgrano,19.83,25.53,-0.004,14,16.29,88.0
Persistencia,Validation,1,14,C14 Palermo,6.23,8.93,0.872,26,22.19,78.0
XGBoost,Validation,1,14,C14 Palermo,8.28,13.24,0.719,26,22.19,78.0
LSTM+aug,Validation,1,14,C14 Palermo,15.54,17.4,-0.016,14,12.43,53.0
Persistencia,Validation,1,15,C15 Agronomía,17.85,26.39,0.857,26,59.38,210.0
XGBoost,Validation,1,15,C15 Agronomía,20.24,34.0,0.764,26,59.19,210.0
LSTM+aug,Validation,1,15,C15 Agronomía,25.74,38.88,-0.073,14,24.71,127.0
Persistencia,Validation,2,1,C1 Puerto Madero,106.96,152.74,0.899,26,435.5,1391.0
XGBoost,Validation,2,1,C1 Puerto Madero,344.92,526.07,-0.187,26,434.04,1391.0
LSTM+aug,Validation,2,1,C1 Puerto Madero,181.38,307.21,-0.291,14,180.57,810.0
Persistencia,Validation,2,2,C2 Recoleta,4.04,5.98,0.799,26,11.88,48.0
XGBoost,Validation,2,2,C2 Recoleta,5.77,9.63,0.491,26,11.65,48.0
LSTM+aug,Validation,2,2,C2 Recoleta,28.54,30.02,-9.428,14,6.14,27.0
Persistencia,Validation,2,3,C3 Balvanera,9.58,12.77,0.896,26,35.27,120.0
XGBoost,Validation,2,3,C3 Balvanera,20.62,34.68,0.245,26,34.85,120.0
LSTM+aug,Validation,2,3,C3 Balvanera,28.89,30.72,-0.553,14,16.36,82.0
Persistencia,Validation,2,4,C4 La Boca,23.38,39.86,0.794,26,74.04,296.0
XGBoost,Validation,2,4,C4 La Boca,50.02,80.82,0.161,26,73.42,296.0
LSTM+aug,Validation,2,4,C4 La Boca,43.51,50.69,-0.0,14,33.93,151.0
Persistencia,Validation,2,5,C5 Almagro,9.69,15.8,0.838,26,32.15,118.0
XGBoost,Validation,2,5,C5 Almagro,18.0,32.15,0.338,26,31.88,118.0
LSTM+aug,Validation,2,5,C5 Almagro,28.32,29.59,-0.969,14,13.93,57.0
Persistencia,Validation,2,6,C6 Caballito,8.73,13.52,0.836,26,27.42,103.0
XGBoost,Validation,2,6,C6 Caballito,17.54,28.67,0.274,26,27.15,103.0
LSTM+aug,Validation,2,6,C6 Caballito,26.63,29.18,-2.153,14,10.57,52.0
Persistencia,Validation,2,7,C7 Flores,8.77,14.37,0.859,26,34.62,111.0
XGBoost,Validation,2,7,C7 Flores,15.44,26.5,0.524,26,34.42,111.0
LSTM+aug,Validation,2,7,C7 Flores,27.18,28.72,-1.193,14,13.5,55.0
Persistencia,Validation,2,8,C8 Lugano,11.5,16.17,0.783,26,35.35,106.0
XGBoost,Validation,2,8,C8 Lugano,17.11,25.85,0.461,26,34.81,106.0
LSTM+aug,Validation,2,8,C8 Lugano,29.61,31.5,-0.477,14,16.79,81.0
Persistencia,Validation,2,9,C9 Liniers,5.54,8.7,0.776,26,18.19,62.0
XGBoost,Validation,2,9,C9 Liniers,15.68,30.96,-1.822,26,18.15,62.0
LSTM+aug,Validation,2,9,C9 Liniers,25.19,28.06,-4.143,14,9.5,32.0
Persistencia,Validation,2,10,C10 Floresta,5.65,8.25,0.868,26,20.31,69.0
XGBoost,Validation,2,10,C10 Floresta,15.29,26.31,-0.325,26,20.19,69.0
LSTM+aug,Validation,2,10,C10 Floresta,26.8,29.0,-3.942,14,8.79,41.0
Persistencia,Validation,2,11,C11 Villa del Parque,10.15,16.34,0.868,26,38.69,132.0
XGBoost,Validation,2,11,C11 Villa del Parque,17.1,28.78,0.593,26,38.46,132.0
LSTM+aug,Validation,2,11,C11 Villa del Parque,26.92,29.32,-2.016,14,10.71,52.0
Persistencia,Validation,2,12,C12 Coghlan,12.15,17.61,0.85,26,35.65,153.0
XGBoost,Validation,2,12,C12 Coghlan,21.47,38.26,0.299,26,35.38,153.0
LSTM+aug,Validation,2,12,C12 Coghlan,26.13,28.76,-2.068,14,11.07,48.0
Persistencia,Validation,2,13,C13 Belgrano,11.96,18.71,0.813,26,33.5,146.0
XGBoost,Validation,2,13,C13 Belgrano,20.6,35.15,0.345,26,33.23,146.0
LSTM+aug,Validation,2,13,C13 Belgrano,27.11,29.5,-2.333,14,10.0,45.0
Persistencia,Validation,2,14,C14 Palermo,6.23,8.93,0.872,26,22.19,78.0
XGBoost,Validation,2,14,C14 Palermo,9.62,15.79,0.605,26,22.0,78.0
LSTM+aug,Validation,2,14,C14 Palermo,26.52,29.25,-3.827,14,8.64,38.0
Persistencia,Validation,2,15,C15 Agronomía,17.85,26.39,0.857,26,59.38,210.0
XGBoost,Validation,2,15,C15 Agronomía,38.13,63.49,0.182,26,58.92,210.0
LSTM+aug,Validation,2,15,C15 Agronomía,30.03,31.4,-0.582,14,15.64,78.0
Persistencia,Validation,3,1,C1 Puerto Madero,106.96,152.74,0.899,26,435.5,1391.0
XGBoost,Validation,3,1,C1 Puerto Madero,321.54,494.75,-0.044,26,432.46,1391.0
LSTM+aug,Validation,3,1,C1 Puerto Madero,122.71,242.57,-0.344,14,122.71,651.0
Persistencia,Validation,3,2,C2 Recoleta,4.04,5.98,0.799,26,11.88,48.0
XGBoost,Validation,3,2,C2 Recoleta,5.1,7.81,0.665,26,11.65,48.0
LSTM+aug,Validation,3,2,C2 Recoleta,4.21,8.49,-0.327,14,4.21,25.0
Persistencia,Validation,3,3,C3 Balvanera,9.58,12.77,0.896,26,35.27,120.0
XGBoost,Validation,3,3,C3 Balvanera,16.56,27.35,0.534,26,34.62,120.0
LSTM+aug,Validation,3,3,C3 Balvanera,10.5,19.87,-0.387,14,10.5,54.0
Persistencia,Validation,3,4,C4 La Boca,23.38,39.86,0.794,26,74.04,296.0
XGBoost,Validation,3,4,C4 La Boca,46.62,78.22,0.219,26,73.12,296.0
LSTM+aug,Validation,3,4,C4 La Boca,23.14,45.73,-0.344,14,23.14,112.0
Persistencia,Validation,3,5,C5 Almagro,9.69,15.8,0.838,26,32.15,118.0
XGBoost,Validation,3,5,C5 Almagro,14.52,26.19,0.562,26,31.77,118.0
LSTM+aug,Validation,3,5,C5 Almagro,10.07,20.75,-0.308,14,10.07,57.0
Persistencia,Validation,3,6,C6 Caballito,8.73,13.52,0.836,26,27.42,103.0
XGBoost,Validation,3,6,C6 Caballito,13.48,23.99,0.492,26,27.12,103.0
LSTM+aug,Validation,3,6,C6 Caballito,6.86,13.74,-0.332,14,6.86,35.0
Persistencia,Validation,3,7,C7 Flores,8.77,14.37,0.859,26,34.62,111.0
XGBoost,Validation,3,7,C7 Flores,11.85,18.96,0.757,26,34.31,111.0
LSTM+aug,Validation,3,7,C7 Flores,9.57,18.5,-0.365,14,9.57,47.0
Persistencia,Validation,3,8,C8 Lugano,11.5,16.17,0.783,26,35.35,106.0
XGBoost,Validation,3,8,C8 Lugano,11.15,18.01,0.742,26,34.5,106.0
LSTM+aug,Validation,3,8,C8 Lugano,11.0,22.02,-0.332,14,11.0,64.0
Persistencia,Validation,3,9,C9 Liniers,5.54,8.7,0.776,26,18.19,62.0
XGBoost,Validation,3,9,C9 Liniers,12.83,26.7,-1.075,26,18.04,62.0
LSTM+aug,Validation,3,9,C9 Liniers,7.21,13.05,-0.44,14,7.21,32.0
Persistencia,Validation,3,10,C10 Floresta,5.65,8.25,0.868,26,20.31,69.0
XGBoost,Validation,3,10,C10 Floresta,13.72,21.14,0.145,26,20.19,69.0
LSTM+aug,Validation,3,10,C10 Floresta,5.86,11.28,-0.369,14,5.86,32.0
Persistencia,Validation,3,11,C11 Villa del Parque,10.15,16.34,0.868,26,38.69,132.0
XGBoost,Validation,3,11,C11 Villa del Parque,15.59,24.41,0.709,26,38.19,132.0
LSTM+aug,Validation,3,11,C11 Villa del Parque,7.0,14.38,-0.311,14,7.0,38.0
Persistencia,Validation,3,12,C12 Coghlan,12.15,17.61,0.85,26,35.65,153.0
XGBoost,Validation,3,12,C12 Coghlan,18.99,34.96,0.419,26,35.15,153.0
LSTM+aug,Validation,3,12,C12 Coghlan,7.64,15.09,-0.345,14,7.64,39.0
Persistencia,Validation,3,13,C13 Belgrano,11.96,18.71,0.813,26,33.5,146.0
XGBoost,Validation,3,13,C13 Belgrano,16.35,29.34,0.547,26,33.04,146.0
LSTM+aug,Validation,3,13,C13 Belgrano,7.21,15.89,-0.26,14,7.21,45.0
Persistencia,Validation,3,14,C14 Palermo,6.23,8.93,0.872,26,22.19,78.0
XGBoost,Validation,3,14,C14 Palermo,7.67,12.25,0.765,26,21.85,78.0
LSTM+aug,Validation,3,14,C14 Palermo,5.93,12.2,-0.309,14,5.93,33.0
Persistencia,Validation,3,15,C15 Agronomía,17.85,26.39,0.857,26,59.38,210.0
XGBoost,Validation,3,15,C15 Agronomía,30.21,52.43,0.446,26,58.62,210.0
LSTM+aug,Validation,3,15,C15 Agronomía,11.14,24.18,-0.27,14,11.14,78.0
Persistencia,Validation,4,1,C1 Puerto Madero,106.96,152.74,0.899,26,435.5,1391.0
XGBoost,Validation,4,1,C1 Puerto Madero,350.15,539.22,-0.23,26,430.04,1391.0
LSTM+aug,Validation,4,1,C1 Puerto Madero,76.07,168.56,-0.248,14,76.21,503.0
Persistencia,Validation,4,2,C2 Recoleta,4.04,5.98,0.799,26,11.88,48.0
XGBoost,Validation,4,2,C2 Recoleta,7.77,13.19,0.05,26,11.62,48.0
LSTM+aug,Validation,4,2,C2 Recoleta,2.44,4.85,-0.092,14,2.43,18.0
Persistencia,Validation,4,3,C3 Balvanera,9.58,12.77,0.896,26,35.27,120.0
XGBoost,Validation,4,3,C3 Balvanera,25.61,41.9,-0.089,26,34.54,120.0
LSTM+aug,Validation,4,3,C3 Balvanera,6.79,13.19,-0.221,14,6.64,42.0
Persistencia,Validation,4,4,C4 La Boca,23.38,39.86,0.794,26,74.04,296.0
XGBoost,Validation,4,4,C4 La Boca,56.24,94.86,-0.139,26,72.58,296.0
LSTM+aug,Validation,4,4,C4 La Boca,15.72,35.04,-0.203,14,15.43,112.0
Persistencia,Validation,4,5,C5 Almagro,9.69,15.8,0.838,26,32.15,118.0
XGBoost,Validation,4,5,C5 Almagro,23.3,40.03,-0.021,26,31.73,118.0
LSTM+aug,Validation,4,5,C5 Almagro,6.44,13.68,-0.153,14,6.0,46.0
Persistencia,Validation,4,6,C6 Caballito,8.73,13.52,0.836,26,27.42,103.0
XGBoost,Validation,4,6,C6 Caballito,20.32,33.9,-0.01,26,27.04,103.0
LSTM+aug,Validation,4,6,C6 Caballito,5.01,10.76,-0.133,14,4.71,35.0
Persistencia,Validation,4,7,C7 Flores,8.77,14.37,0.859,26,34.62,111.0
XGBoost,Validation,4,7,C7 Flores,22.29,35.53,0.155,26,34.12,111.0
LSTM+aug,Validation,4,7,C7 Flores,6.72,13.85,-0.18,14,6.43,47.0
Persistencia,Validation,4,8,C8 Lugano,11.5,16.17,0.783,26,35.35,106.0
XGBoost,Validation,4,8,C8 Lugano,19.84,31.42,0.229,26,34.12,106.0
LSTM+aug,Validation,4,8,C8 Lugano,6.58,13.43,-0.193,14,6.43,41.0
Persistencia,Validation,4,9,C9 Liniers,5.54,8.7,0.776,26,18.19,62.0
XGBoost,Validation,4,9,C9 Liniers,16.55,41.39,-3.915,26,17.88,62.0
LSTM+aug,Validation,4,9,C9 Liniers,5.08,9.38,-0.209,14,4.93,26.0
Persistencia,Validation,4,10,C10 Floresta,5.65,8.25,0.868,26,20.31,69.0
XGBoost,Validation,4,10,C10 Floresta,11.34,19.12,0.304,26,20.12,69.0
LSTM+aug,Validation,4,10,C10 Floresta,3.86,6.92,-0.157,14,3.57,20.0
Persistencia,Validation,4,11,C11 Villa del Parque,10.15,16.34,0.868,26,38.69,132.0
XGBoost,Validation,4,11,C11 Villa del Parque,22.23,35.21,0.403,26,37.85,132.0
LSTM+aug,Validation,4,11,C11 Villa del Parque,4.58,9.79,-0.125,14,4.29,34.0
Persistencia,Validation,4,12,C12 Coghlan,12.15,17.61,0.85,26,35.65,153.0
XGBoost,Validation,4,12,C12 Coghlan,26.68,46.53,-0.027,26,35.08,153.0
LSTM+aug,Validation,4,12,C12 Coghlan,5.15,10.49,-0.154,14,4.86,34.0
Persistencia,Validation,4,13,C13 Belgrano,11.96,18.71,0.813,26,33.5,146.0
XGBoost,Validation,4,13,C13 Belgrano,24.0,42.45,0.053,26,32.96,146.0
LSTM+aug,Validation,4,13,C13 Belgrano,4.3,10.04,-0.096,14,4.0,37.0
Persistencia,Validation,4,14,C14 Palermo,6.23,8.93,0.872,26,22.19,78.0
XGBoost,Validation,4,14,C14 Palermo,13.99,22.4,0.219,26,21.73,78.0
LSTM+aug,Validation,4,14,C14 Palermo,3.87,8.05,-0.111,14,3.57,28.0
Persistencia,Validation,4,15,C15 Agronomía,17.85,26.39,0.857,26,59.38,210.0
XGBoost,Validation,4,15,C15 Agronomía,42.79,69.26,0.042,26,58.15,210.0
LSTM+aug,Validation,4,15,C15 Agronomía,5.87,11.82,-0.174,14,5.57,40.0
Persistencia,Test,0,1,C1 Puerto Madero,0.22,0.52,-0.484,78,0.15,2.0
Random Forest,Test,0,1,C1 Puerto Madero,1.05,2.3,-28.142,78,0.15,2.0
XGBoost,Test,0,1,C1 Puerto Madero,0.51,0.68,-1.578,78,0.15,2.0
LSTM+aug,Test,0,1,C1 Puerto Madero,99.22,99.22,-47017.777,66,0.18,2.0
Persistencia,Test,0,2,C2 Recoleta,0.08,0.28,-1.08,78,0.04,1.0
Random Forest,Test,0,2,C2 Recoleta,0.93,2.34,-146.908,78,0.04,1.0
XGBoost,Test,0,2,C2 Recoleta,0.27,0.46,-4.656,78,0.04,1.0
LSTM+aug,Test,0,2,C2 Recoleta,99.35,99.35,-227503.5,66,0.05,1.0
Persistencia,Test,0,3,C3 Balvanera,0.15,0.45,-0.19,78,0.14,2.0
Random Forest,Test,0,3,C3 Balvanera,0.87,2.19,-26.841,78,0.14,2.0
XGBoost,Test,0,3,C3 Balvanera,0.25,0.4,0.068,78,0.14,2.0
LSTM+aug,Test,0,3,C3 Balvanera,99.23,99.23,-49359.395,66,0.17,2.0
Persistencia,Test,0,4,C4 La Boca,0.13,0.53,-1.06,78,0.06,3.0
Random Forest,Test,0,4,C4 La Boca,0.95,2.31,-38.018,78,0.06,3.0
XGBoost,Test,0,4,C4 La Boca,0.35,0.55,-1.205,78,0.06,3.0
LSTM+aug,Test,0,4,C4 La Boca,99.32,99.32,-61300.91,66,0.08,3.0
Persistencia,Test,0,5,C5 Almagro,0.1,0.32,-1.108,78,0.05,1.0
Random Forest,Test,0,5,C5 Almagro,0.88,2.29,-106.45,78,0.05,1.0
XGBoost,Test,0,5,C5 Almagro,0.25,0.44,-2.957,78,0.05,1.0
LSTM+aug,Test,0,5,C5 Almagro,99.34,99.34,-173326.828,66,0.06,1.0
Persistencia,Test,0,6,C6 Caballito,0.08,0.32,0.229,78,0.09,2.0
Random Forest,Test,0,6,C6 Caballito,0.88,2.23,-36.48,78,0.09,2.0
XGBoost,Test,0,6,C6 Caballito,0.23,0.43,-0.389,78,0.09,2.0
LSTM+aug,Test,0,6,C6 Caballito,99.29,99.29,-63435.332,66,0.11,2.0
Persistencia,Test,0,7,C7 Flores,0.1,0.36,-0.497,78,0.06,2.0
Random Forest,Test,0,7,C7 Flores,0.97,2.39,-65.852,78,0.06,2.0
XGBoost,Test,0,7,C7 Flores,0.29,0.58,-2.97,78,0.06,2.0
LSTM+aug,Test,0,7,C7 Flores,99.32,99.32,-98333.953,66,0.08,2.0
Persistencia,Test,0,8,C8 Lugano,0.08,0.28,-0.282,78,0.06,1.0
Random Forest,Test,0,8,C8 Lugano,0.98,2.51,-104.28,78,0.06,1.0
XGBoost,Test,0,8,C8 Lugano,0.33,0.55,-4.012,78,0.06,1.0
LSTM+aug,Test,0,8,C8 Lugano,99.32,99.32,-140891.594,66,0.08,1.0
Persistencia,Test,0,9,C9 Liniers,0.08,0.36,0.241,78,0.1,2.0
Random Forest,Test,0,9,C9 Liniers,0.95,2.44,-34.264,78,0.1,2.0
XGBoost,Test,0,9,C9 Liniers,0.29,0.54,-0.751,78,0.1,2.0
LSTM+aug,Test,0,9,C9 Liniers,99.28,99.28,-49921.648,66,0.12,2.0
Persistencia,Test,0,10,C10 Floresta,0.18,0.6,-0.496,78,0.13,3.0
Random Forest,Test,0,10,C10 Floresta,0.94,2.43,-23.603,78,0.13,3.0
XGBoost,Test,0,10,C10 Floresta,0.35,0.83,-1.904,78,0.13,3.0
LSTM+aug,Test,0,10,C10 Floresta,99.25,99.25,-35169.191,66,0.15,3.0
Persistencia,Test,0,11,C11 Villa del Parque,0.74,2.22,0.272,78,0.92,17.0
Random Forest,Test,0,11,C11 Villa del Parque,1.28,3.5,-0.815,78,0.92,17.0
XGBoost,Test,0,11,C11 Villa del Parque,0.7,1.7,0.572,78,0.92,17.0
LSTM+aug,Test,0,11,C11 Villa del Parque,98.31,98.35,-1237.449,66,1.09,17.0
Persistencia,Test,0,12,C12 Coghlan,0.15,0.48,0.107,78,0.15,3.0
Random Forest,Test,0,12,C12 Coghlan,1.0,2.39,-21.151,78,0.15,3.0
XGBoost,Test,0,12,C12 Coghlan,0.37,0.78,-1.37,78,0.15,3.0
LSTM+aug,Test,0,12,C12 Coghlan,99.22,99.22,-32783.035,66,0.18,3.0
Persistencia,Test,0,13,C13 Belgrano,0.13,0.36,-0.569,78,0.09,1.0
Random Forest,Test,0,13,C13 Belgrano,0.98,2.44,-71.834,78,0.09,1.0
XGBoost,Test,0,13,C13 Belgrano,0.32,0.58,-3.181,78,0.09,1.0
LSTM+aug,Test,0,13,C13 Belgrano,99.29,99.29,-103984.797,66,0.11,1.0
Persistencia,Test,0,14,C14 Palermo,0.15,0.45,-1.122,78,0.08,2.0
Random Forest,Test,0,14,C14 Palermo,1.0,2.54,-65.952,78,0.08,2.0
XGBoost,Test,0,14,C14 Palermo,0.35,0.71,-4.238,78,0.08,2.0
LSTM+aug,Test,0,14,C14 Palermo,99.31,99.31,-87314.688,66,0.09,2.0
Persistencia,Test,0,15,C15 Agronomía,0.21,0.64,-0.645,78,0.14,3.0
Random Forest,Test,0,15,C15 Agronomía,0.95,2.36,-21.415,78,0.14,3.0
XGBoost,Test,0,15,C15 Agronomía,0.33,0.63,-0.568,78,0.14,3.0
LSTM+aug,Test,0,15,C15 Agronomía,99.23,99.23,-33907.75,66,0.17,3.0
Persistencia,Test,1,1,C1 Puerto Madero,0.22,0.52,-0.484,78,0.15,2.0
XGBoost,Test,1,1,C1 Puerto Madero,1.35,2.83,-42.797,77,0.16,2.0
LSTM+aug,Test,1,1,C1 Puerto Madero,14.42,14.43,-980.424,65,0.18,2.0
Persistencia,Test,1,2,C2 Recoleta,0.08,0.28,-1.08,78,0.04,1.0
XGBoost,Test,1,2,C2 Recoleta,0.6,1.32,-45.434,77,0.04,1.0
LSTM+aug,Test,1,2,C2 Recoleta,14.56,14.56,-4814.04,65,0.05,1.0
Persistencia,Test,1,3,C3 Balvanera,0.15,0.45,-0.19,78,0.14,2.0
XGBoost,Test,1,3,C3 Balvanera,0.67,1.54,-12.651,77,0.14,2.0
LSTM+aug,Test,1,3,C3 Balvanera,14.43,14.44,-1030.837,65,0.17,2.0
Persistencia,Test,1,4,C4 La Boca,0.13,0.53,-1.06,78,0.06,3.0
XGBoost,Test,1,4,C4 La Boca,0.8,1.77,-21.638,77,0.06,3.0
LSTM+aug,Test,1,4,C4 La Boca,14.53,14.53,-1292.218,65,0.08,3.0
Persistencia,Test,1,5,C5 Almagro,0.1,0.32,-1.108,78,0.05,1.0
XGBoost,Test,1,5,C5 Almagro,0.63,1.4,-38.668,77,0.05,1.0
LSTM+aug,Test,1,5,C5 Almagro,14.54,14.54,-3661.967,65,0.06,1.0
Persistencia,Test,1,6,C6 Caballito,0.08,0.32,0.229,78,0.09,2.0
XGBoost,Test,1,6,C6 Caballito,0.85,2.09,-31.518,77,0.09,2.0
LSTM+aug,Test,1,6,C6 Caballito,14.5,14.5,-1333.119,65,0.11,2.0
Persistencia,Test,1,7,C7 Flores,0.1,0.36,-0.497,78,0.06,2.0
XGBoost,Test,1,7,C7 Flores,0.86,2.09,-49.45,77,0.06,2.0
LSTM+aug,Test,1,7,C7 Flores,14.53,14.53,-2073.559,65,0.08,2.0
Persistencia,Test,1,8,C8 Lugano,0.08,0.28,-0.282,78,0.06,1.0
XGBoost,Test,1,8,C8 Lugano,0.86,1.93,-60.365,77,0.06,1.0
LSTM+aug,Test,1,8,C8 Lugano,14.53,14.53,-2972.101,65,0.08,1.0
Persistencia,Test,1,9,C9 Liniers,0.08,0.36,0.241,78,0.1,2.0
XGBoost,Test,1,9,C9 Liniers,0.94,2.41,-32.839,77,0.1,2.0
LSTM+aug,Test,1,9,C9 Liniers,14.48,14.49,-1047.25,65,0.12,2.0
Persistencia,Test,1,10,C10 Floresta,0.18,0.6,-0.496,78,0.13,3.0
XGBoost,Test,1,10,C10 Floresta,1.15,2.95,-34.873,77,0.13,3.0
LSTM+aug,Test,1,10,C10 Floresta,14.45,14.46,-735.177,65,0.15,3.0
Persistencia,Test,1,11,C11 Villa del Parque,0.74,2.22,0.272,78,0.92,17.0
XGBoost,Test,1,11,C11 Villa del Parque,1.6,4.24,-1.624,77,0.94,17.0
LSTM+aug,Test,1,11,C11 Villa del Parque,13.57,13.79,-23.024,65,1.11,17.0
Persistencia,Test,1,12,C12 Coghlan,0.15,0.48,0.107,78,0.15,3.0
XGBoost,Test,1,12,C12 Coghlan,0.9,2.23,-18.017,77,0.16,3.0
LSTM+aug,Test,1,12,C12 Coghlan,14.42,14.43,-683.095,65,0.18,3.0
Persistencia,Test,1,13,C13 Belgrano,0.13,0.36,-0.569,78,0.09,1.0
XGBoost,Test,1,13,C13 Belgrano,0.93,2.07,-50.764,77,0.09,1.0
LSTM+aug,Test,1,13,C13 Belgrano,14.5,14.5,-2186.841,65,0.11,1.0
Persistencia,Test,1,14,C14 Palermo,0.15,0.45,-1.122,78,0.08,2.0
XGBoost,Test,1,14,C14 Palermo,0.96,2.17,-47.218,77,0.08,2.0
LSTM+aug,Test,1,14,C14 Palermo,14.51,14.52,-1838.312,65,0.09,2.0
Persistencia,Test,1,15,C15 Agronomía,0.21,0.64,-0.645,78,0.14,3.0
XGBoost,Test,1,15,C15 Agronomía,1.06,2.49,-23.598,77,0.14,3.0
LSTM+aug,Test,1,15,C15 Agronomía,14.43,14.44,-707.665,65,0.17,3.0
Persistencia,Test,2,1,C1 Puerto Madero,0.22,0.52,-0.484,78,0.15,2.0
XGBoost,Test,2,1,C1 Puerto Madero,4.4,10.77,-624.54,76,0.16,2.0
LSTM+aug,Test,2,1,C1 Puerto Madero,34.5,34.5,-5539.425,64,0.19,2.0
Persistencia,Test,2,2,C2 Recoleta,0.08,0.28,-1.08,78,0.04,1.0
XGBoost,Test,2,2,C2 Recoleta,0.91,2.07,-112.464,76,0.04,1.0
LSTM+aug,Test,2,2,C2 Recoleta,34.64,34.64,-26855.283,64,0.05,1.0
Persistencia,Test,2,3,C3 Balvanera,0.15,0.45,-0.19,78,0.14,2.0
XGBoost,Test,2,3,C3 Balvanera,1.3,2.91,-47.147,76,0.14,2.0
LSTM+aug,Test,2,3,C3 Balvanera,34.51,34.52,-5815.389,64,0.17,2.0
Persistencia,Test,2,4,C4 La Boca,0.13,0.53,-1.06,78,0.06,3.0
XGBoost,Test,2,4,C4 La Boca,1.61,3.58,-90.318,76,0.07,3.0
LSTM+aug,Test,2,4,C4 La Boca,34.61,34.61,-7224.82,64,0.08,3.0
Persistencia,Test,2,5,C5 Almagro,0.1,0.32,-1.108,78,0.05,1.0
XGBoost,Test,2,5,C5 Almagro,1.28,2.98,-176.752,76,0.05,1.0
LSTM+aug,Test,2,5,C5 Almagro,34.62,34.62,-20458.684,64,0.06,1.0
Persistencia,Test,2,6,C6 Caballito,0.08,0.32,0.229,78,0.09,2.0
XGBoost,Test,2,6,C6 Caballito,1.32,3.19,-73.699,76,0.09,2.0
LSTM+aug,Test,2,6,C6 Caballito,34.58,34.58,-7476.027,64,0.11,2.0
Persistencia,Test,2,7,C7 Flores,0.1,0.36,-0.497,78,0.06,2.0
XGBoost,Test,2,7,C7 Flores,1.79,4.25,-205.058,76,0.07,2.0
LSTM+aug,Test,2,7,C7 Flores,34.61,34.61,-11597.29,64,0.08,2.0
