year,epi_week,comuna_id,confirmed_cases
2023,24,9,0
2023,24,10,0
2023,24,11,0
2023,24,12,0
2023,24,13,1
2023,24,14,2
2023,24,15,1
2023,25,1,1
2023,25,2,0
2023,25,3,0
2023,25,4,0
2023,25,5,0
2023,25,6,0
2023,25,7,0
2023,25,8,0
2023,25,9,0
2023,25,10,0
2023,25,11,0
2023,25,12,1
2023,25,13,1
2023,25,14,0
2023,25,15,0
2023,26,1,0
2023,26,2,0
2023,26,3,0
2023,26,4,0
2023,26,5,0
2023,26,6,0
2023,26,7,0
2023,26,8,0
2023,26,9,0
2023,26,10,0
2023,26,11,0
2023,26,12,0
2023,26,13,0
2023,26,14,0
2023,26,15,0
2023,27,1,1
2023,27,2,0
2023,27,3,0
2023,27,4,0
2023,27,5,2
2023,27,6,1
2023,27,7,0
2023,27,8,0
2023,27,9,0
2023,27,10,0
2023,27,11,0
2023,27,12,0
2023,27,13,0
2023,27,14,0
2023,27,15,0
2023,28,1,1
2023,28,2,0
2023,28,3,0
2023,28,4,0
2023,28,5,2
2023,28,6,0
2023,28,7,0
2023,28,8,0
2023,28,9,0
2023,28,10,0
2023,28,11,0
2023,28,12,0
2023,28,13,0
2023,28,14,0
2023,28,15,0
2023,29,1,0
2023,29,2,0
2023,29,3,0
2023,29,4,0
2023,29,5,0
2023,29,6,0
2023,29,7,0
2023,29,8,0
2023,29,9,0
2023,29,10,0
2023,29,11,0
2023,29,12,0
2023,29,13,0
2023,29,14,0
2023,29,15,0
2023,30,1,0
2023,30,2,0
2023,30,3,0
2023,30,4,0
2023,30,5,1
2023,30,6,0
2023,30,7,0
2023,30,8,0
2023,30,9,0
2023,30,10,0
2023,30,11,0
2023,30,12,0
2023,30,13,0
2023,30,14,0
2023,30,15,0
2023,31,1,0
2023,31,2,0
2023,31,3,0
2023,31,4,0
2023,31,5,0
2023,31,6,0
2023,31,7,0
2023,31,8,0
2023,31,9,0
2023,31,10,0
2023,31,11,0
2023,31,12,0
2023,31,13,0
2023,31,14,0
2023,31,15,0
2023,32,1,0
2023,32,2,0
2023,32,3,0
2023,32,4,1
2023,32,5,0
2023,32,6,0
2023,32,7,0
2023,32,8,0
2023,32,9,0
2023,32,10,0
2023,32,11,0
