year,epi_week,temp_max_mean,temp_min_mean,temp_mean,precipitation,humidity_mean,heat_index_mean,n_dias,fecha_inicio,temp_mean_anomaly,precipitation_anomaly,humidity_mean_anomaly
2021,52,32.8,22.05,27.450000000000003,0.9,54.25,28.0318922567089,2,2022-01-01,2.682857142857145,-3.1599999999999997,-2.714285714285708
2022,1,31.699999999999996,20.385714285714283,25.614285714285717,1.3,42.714285714285715,25.75512229131888,7,2022-01-03,-0.42285714285713993,-4.000000000000001,-10.480952380952381
2022,2,37.24285714285714,23.557142857142857,29.857142857142858,4.800000000000001,43.142857142857146,30.233170365795274,7,2022-01-10,3.3785714285714263,1.9750000000000005,-10.428571428571423
2022,3,27.842857142857138,21.67142857142857,24.057142857142857,66.5,81.71428571428571,24.403602891128603,7,2022-01-17,-1.432142857142857,37.65,15.392857142857139
2022,4,27.514285714285712,18.614285714285717,22.785714285714285,25.2,65.07142857142857,22.785714285714285,7,2022-01-24,-2.5964285714285715,17.4,4.482142857142854
2022,5,27.114285714285717,17.942857142857143,22.25714285714286,37.6,61.0,22.25714285714286,7,2022-01-31,-3.1999999999999957,24.825000000000003,0.017857142857138797
2022,6,26.74285714285714,16.142857142857142,21.02857142857143,5.3999999999999995,55.07142857142857,21.02857142857143,7,2022-02-07,-5.25357142857143,-31.5,-5.375
2022,7,29.97142857142857,18.571428571428573,23.785714285714285,6.0,50.57142857142857,23.785714285714285,7,2022-02-14,0.596428571428568,-7.775000000000002,-9.67857142857143
2022,8,28.32857142857143,19.185714285714287,23.2,103.2,67.57142857142857,23.2,7,2022-02-21,-1.3035714285714306,76.025,3.4464285714285694
2022,9,28.0,18.457142857142856,22.87142857142857,1.4000000000000001,61.0,22.87142857142857,7,2022-02-28,-2.2428571428571438,-19.675,-5.642857142857139
2022,10,24.485714285714288,15.614285714285714,19.942857142857143,12.9,58.642857142857146,19.942857142857143,7,2022-03-07,-4.428571428571427,-19.15,-4.660714285714285
2022,11,25.842857142857145,15.757142857142856,20.5,4.7,53.357142857142854,20.5,7,2022-03-14,-2.185714285714287,-46.449999999999996,-14.071428571428577
2022,12,22.642857142857142,14.37142857142857,18.014285714285712,16.4,73.57142857142857,18.014285714285712,7,2022-03-21,-3.5964285714285715,-10.95,4.107142857142861
2022,13,22.428571428571427,12.728571428571428,17.0,1.7000000000000002,54.214285714285715,17.0,7,2022-03-28,-3.2071428571428555,-13.625,-11.125000000000007
