year,epi_week,comuna_id,confirmed_cases,temp_max_mean,temp_min_mean,temp_mean,precipitation,humidity_mean,heat_index_mean,temp_mean_anomaly,precipitation_anomaly,humidity_mean_anomaly,poblacion,incidencia_x10000,cases_lag1,incidencia_lag1,cases_lag2,incidencia_lag2,cases_lag3,incidencia_lag3,cases_lag4,incidencia_lag4,target_h1,target_h2,target_h3,target_h4,casos_vecinas_lag1,incidencia_vecinas_lag1,temp_mean_lag1,temp_mean_lag2,temp_mean_lag3,temp_mean_lag4,precipitation_lag1,precipitation_lag2,precipitation_lag3,precipitation_lag4,humidity_mean_lag1,humidity_mean_lag2,humidity_mean_lag3,humidity_mean_lag4,heat_index_mean_lag1,heat_index_mean_lag2,heat_index_mean_lag3,heat_index_mean_lag4,temp_mean_anomaly_lag1,temp_mean_anomaly_lag2,temp_mean_anomaly_lag3,temp_mean_anomaly_lag4,precipitation_anomaly_lag1,precipitation_anomaly_lag2,precipitation_anomaly_lag3,precipitation_anomaly_lag4,humidity_mean_anomaly_lag1,humidity_mean_anomaly_lag2,humidity_mean_anomaly_lag3,humidity_mean_anomaly_lag4,semana_sin,semana_cos,is_epidemic_season,mes_aprox,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15,es_comuna_1,temp_mean_norm,temp_max_mean_norm,temp_min_mean_norm,precipitation_norm,humidity_mean_norm,heat_index_mean_norm,temp_mean_anomaly_norm,precipitation_anomaly_norm,humidity_mean_anomaly_norm,incidencia_x10000_norm,cases_lag1_norm,cases_lag2_norm,cases_lag3_norm,cases_lag4_norm,incidencia_lag1_norm,incidencia_lag2_norm,incidencia_lag3_norm,incidencia_lag4_norm,temp_mean_lag1_norm,temp_mean_lag2_norm,temp_mean_lag3_norm,temp_mean_lag4_norm,precipitation_lag1_norm,precipitation_lag2_norm,precipitation_lag3_norm,precipitation_lag4_norm,humidity_mean_lag1_norm,humidity_mean_lag2_norm,humidity_mean_lag3_norm,humidity_mean_lag4_norm,heat_index_mean_lag1_norm,heat_index_mean_lag2_norm,heat_index_mean_lag3_norm,heat_index_mean_lag4_norm,temp_mean_anomaly_lag1_norm,temp_mean_anomaly_lag2_norm,temp_mean_anomaly_lag3_norm,temp_mean_anomaly_lag4_norm,precipitation_anomaly_lag1_norm,precipitation_anomaly_lag2_norm,precipitation_anomaly_lag3_norm,precipitation_anomaly_lag4_norm,humidity_mean_anomaly_lag1_norm,humidity_mean_anomaly_lag2_norm,humidity_mean_anomaly_lag3_norm,humidity_mean_anomaly_lag4_norm
2023,1,1,0,31.957,20.414,25.7,0.1,50.357,25.758,-0.337,-5.2,-2.838,223554,0.0,,,,,,,,,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12053668025532305,0.992708874098054,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2651843130291893,1.408900126125947,1.103234445217185,-0.7260544959601237,-2.061393211326157,1.1932708848011035,-0.4171505772822599,-0.24555469523187776,-0.597557369921717,-0.2674146335339911,-0.27114005784693646,-0.271029524616254,-0.27078688821930375,-0.2707427032458348,-0.26710782051118787,-0.26701446126228323,-0.2668025259059541,-0.266763510662114,-2.972471584663788,-2.6985065785146842,-2.4961237552022895,-2.3125965107216264,-0.7164537274591947,-0.7057358805056853,-0.6765266951384252,-0.6550122693231241,-5.52148199484567,-4.3147915467107385,-3.6406821251538095,-3.1934452492718997,-2.87965622965285,-2.6249225236483107,-2.4364630903007707,-2.262741255839335,-0.27438149671109574,-0.2860058403382228,-0.26676426183881696,-0.30398276116406475,0.03496296752701434,0.03595035883381173,0.071497417778581,0.0774674978293502,-0.03965787273590472,-0.011791092665437288,0.019617511165856718,0.06344176348409715
2023,2,1,3,31.743,21.2,25.9,5.4,54.643,25.852,-0.579,2.575,1.071,223554,0.1342,0.0,0.0,,,,,,,1.0,0.0,3.0,4.0,0.3333333333333333,0.014533333333333334,25.7,,,,0.1,,,,50.357,,,,25.758,,,,-0.337,,,,-5.2,,,,-2.838,,,,0.23931566428755774,0.970941817426052,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.300946421630315,1.3741932514820099,1.2507370482512696,-0.4657102088320856,-1.4875250136908413,1.2093312527925013,-0.5371154491804261,0.162257345855241,0.15694483194209458,-0.22465754521258577,-0.27114005784693646,-0.271029524616254,-0.27078688821930375,-0.2707427032458348,-0.26710782051118787,-0.26701446126228323,-0.2668025259059541,-0.266763510662114,1.2275823651614248,-2.6985065785146842,-2.4961237552022895,-2.3125965107216264,-0.7115651834586858,-0.7057358805056853,-0.6765266951384252,-0.6550122693231241,-1.2176690616504582,-4.3147915467107385,-3.6406821251538095,-3.1934452492718997,1.1652000301292766,-2.6249225236483107,-2.4364630903007707,-2.262741255839335,-0.4441048058662402,-0.2860058403382228,-0.26676426183881696,-0.30398276116406475,-0.2382736341869936,0.03595035883381173,0.071497417778581,0.0774674978293502,-0.5886775938310149,-0.011791092665437288,0.019617511165856718,0.06344176348409715
2023,3,1,1,33.329,23.529,27.743,10.0,58.286,28.481,2.254,-18.85,-8.036,223554,0.0447,3.0,0.1342,0.0,0.0,,,,,0.0,3.0,4.0,5.0,0.0,0.0,25.9,25.7,,,5.4,0.1,,,54.643,50.357,,,25.852,25.758,,,-0.579,-0.337,,,2.575,-5.2,,,1.071,-2.838,,,0.3546048870425356,0.9350162426854148,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.630494252389688,1.6314133598244585,1.6878026493535399,-0.2397510162303921,-0.9997504350661438,1.6585089916157356,0.8672667082059581,-0.9615205294234112,-1.6008580722210497,-0.25317289100070633,-0.2227738636586584,-0.271029524616254,-0.27078688821930375,-0.2707427032458348,-0.22435385909460592,-0.26701446126228323,-0.2668025259059541,-0.266763510662114,1.2602676099071461,1.205484240930793,-2.4961237552022895,-2.3125965107216264,-0.4524723514317155,-0.7008667992019444,-0.6765266951384252,-0.6550122693231241,-0.8513616519224226,-0.8814748214916445,-3.6406821251538095,-3.1934452492718997,1.1799611330262223,1.1494310844938385,-2.4364630903007707,-2.262741255839335,-0.5659832652595487,-0.45666082845790734,-0.26676426183881696,-0.30398276116406475,0.1702676308757779,-0.23730268483906783,0.071497417778581,0.0774674978293502,0.1675303306794804,-0.5720236397338768,0.019617511165856718,0.06344176348409715
2023,4,1,0,32.414,22.686,27.014,1.3,61.643,27.798,1.632,-6.5,1.054,223554,0.0,1.0,0.0447,3.0,0.1342,0.0,0.0,,,3.0,4.0,5.0,7.0,0.0,0.0,27.743,25.9,25.7,,10.0,5.4,0.1,,58.286,54.643,50.357,,28.481,25.852,25.758,,2.254,-0.579,-0.337,,-18.85,2.575,-5.2,,-8.036,1.071,-2.838,,0.4647231720437685,0.8854560256532099,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5001413665385852,1.4830171434730461,1.529603292664311,-0.6671086196292471,-0.5502694412579887,1.5418150412101554,0.5589272440710018,-0.3137419175358333,0.15366354838320873,-0.2674146335339911,-0.25501799311751044,-0.2226646128796541,-0.27078688821930375,-0.2707427032458348,-0.2528671195028331,-0.22426145299284242,-0.2668025259059541,-0.266763510662114,1.5614621402389697,1.2358654924439874,1.2198969763812928,-2.3125965107216264,-0.22759932740830732,-0.4428054901036733,-0.6715146723221839,-0.6550122693231241,-0.5400089002567126,-0.5892573445909347,-0.6806688522093673,-3.1934452492718997,1.5928009151120681,1.1632050280905992,1.1701869839757548,-2.262741255839335,0.8608005176381492,-0.5792083273450399,-0.43835348972251353,-0.30398276116406475,-0.9555197136862646,0.1712631641141319,-0.2105288662087028,0.0774674978293502,-1.5942464839833697,0.19962858947349815,-0.5551440190728707,0.06344176348409715
2023,5,1,3,29.229,20.471,24.514,9.3,65.571,24.514,-0.943,-3.475,4.589,223554,0.1342,0.0,0.0,1.0,0.0447,3.0,0.1342,0.0,0.0,4.0,5.0,7.0,21.0,0.0,0.0,27.014,27.743,25.9,25.7,1.3,10.0,5.4,0.1,61.643,58.286,54.643,50.357,27.798,28.481,25.852,25.758,1.632,2.254,-0.579,-0.337,-6.5,-18.85,2.575,-5.2,1.054,-8.036,1.071,-2.838,0.5680647467311558,0.8229838658936564,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0531150090245143,0.966468565244359,1.1139311988723284,-0.2741361107567367,-0.024335171469954075,0.9807272913830347,-0.7175584796388249,-0.15507549640547524,0.8359775119515317,-0.22465754521258577,-0.27114005784693646,-0.25490788737072073,-0.22242470546604692,-0.2707427032458348,-0.26710782051118787,-0.25277407773289423,-0.22405161188388958,-0.266763510662114,1.442324423140815,1.5158287251380735,1.2488154256543167,1.2099161485932148,-0.6529026554525793,-0.21882775013158906,-0.4058774630613917,-0.6500158430351964,-0.25309943351452535,-0.3408793071785956,-0.42873531987344815,-0.5385852791931633,1.4855473695949004,1.5484358548553216,1.183348918403195,1.1636761342076383,0.5475426591974968,0.8554076410320117,-0.5615718670158505,-0.48074202408469624,-0.3065827846154956,-0.9545919244803768,0.2111546641761302,-0.20493508273089645,0.16424162903796635,-1.598129622701371,0.23652011824326227,-0.5391508662339385
2023,6,1,4,36.486,24.529,29.943,0.3,51.143,31.202,3.661,-36.6,-9.304,223554,0.1789,3.0,0.1342,0.0,0.0,1.0,0.0447,3.0,0.1342,5.0,7.0,21.0,46.0,1.0,0.05216666666666667,24.514,27.014,27.743,25.9,9.3,1.3,10.0,5.4,65.571,61.643,58.286,54.643,24.514,27.798,28.481,25.852,-0.943,1.632,2.254,-0.579,-3.475,-6.5,-18.85,2.575,4.589,1.054,-8.036,1.071,0.6631226582407952,0.7485107481711011,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.023877447002071,2.143420851651134,1.87546499418062,-0.7162301832383109,-1.9561527999072676,2.1234053884731035,1.5647484220932306,-1.892538372419727,-1.8456032223779477,-0.21041580267930102,-0.2227738636586584,-0.271029524616254,-0.2546661606348848,-0.2223810295362735,-0.22435385909460592,-0.26701446126228323,-0.2525628399388432,-0.22401299125300964,1.0337588638192963,1.4050890633724802,1.5152989357052327,1.2373286984711513,-0.2618191354118694,-0.6424378235570527,-0.17532441351428912,-0.3852052497750336,0.08261113704350594,-0.11200061610167489,-0.21459769544513418,-0.3126240457646932,0.969850966259063,1.4483549668065172,1.5514630206344624,1.1761803361901066,-0.7493045843470043,0.540430185214671,0.8808978142735036,-0.6076730081404611,-0.14763264611840443,-0.3056159457572877,-0.9508478616753228,0.21731108339524158,0.8480981174351526,0.19627272150303884,-1.6078608739639575,0.29084722734174906
2023,7,1,5,26.514,15.457,21.071,9.7,58.071,21.268,-2.118,-4.075,-2.179,223554,0.2237,4.0,0.1789,3.0,0.1342,0.0,0.0,1.0,0.0447,7.0,21.0,46.0,116.0,0.6666666666666666,0.035166666666666666,29.943,24.514,27.014,27.743,0.3,9.3,1.3,10.0,51.143,65.571,61.643,58.286,31.202,24.514,27.798,28.481,3.661,-0.943,1.632,2.254,-36.6,-3.475,-6.5,-18.85,-9.304,4.589,1.054,-8.036,0.7485107481711011,0.6631226582407953,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43747030945613613,0.5261453659065617,0.1729922019093479,-0.2544874853131113,-1.0285375705051534,0.4261320307439257,-1.3000325477394254,-0.18654652208422393,-0.47035937784490656,-0.19614219942446523,-0.20665179892923238,-0.2226646128796541,-0.27078688821930375,-0.2546221453426477,-0.21011315808625114,-0.22426145299284242,-0.2668025259059541,-0.25252395613464035,1.9209998324419066,1.0253234194575505,1.4098911881050604,1.4899353455963362,-0.701788095457668,-0.25291131925777577,-0.6113703985272875,-0.15536964053036403,-1.1504927611263713,0.155808588113441,-0.017271314658461233,-0.12056226942780185,2.020087734075775,0.967146128809048,1.4558289651670007,1.5258989214231797,1.5694079241108148,-0.7635359702992391,0.5641960346187282,0.8782587184297137,-1.8882023445369647,-0.14665624246681452,-0.28103543720552376,-0.9462418567015439,-1.8395449358327705,0.8940958553603094,0.2330772197182241,-1.6428423705589381
2023,8,1,7,30.743,19.414,24.629,1.3,58.0,24.629,0.125,-25.875,-6.125,223554,0.3131,5.0,0.2237,4.0,0.1789,3.0,0.1342,0.0,0.0,21.0,46.0,116.0,297.0,0.3333333333333333,0.016999999999999998,21.071,29.943,24.514,27.014,9.7,0.3,9.3,1.3,58.071,51.143,65.571,61.643,21.268,31.202,24.514,27.798,-2.118,3.661,-0.943,1.632,-4.075,-36.6,-3.475,-6.5,-2.179,-9.304,4.589,1.054,0.8229838658936564,0.5680647467311559,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.073678221470162,1.2120115942673515,0.9155721003901047,-0.6671086196292471,-1.0380440198826861,1.000375613925702,-0.18812673093121524,-1.3299937884120938,-1.2320031968662932,-0.16765871435789567,-0.19052973419980637,-0.20654297563412083,-0.22242470546604692,-0.2707427032458348,-0.19584059868637876,-0.2100210694634534,-0.22405161188388958,-0.266763510662114,0.4710823755217009,1.8500224917832122,1.0484105721922605,1.3900166012912578,-0.24226495940983397,-0.6911286365944623,-0.21040857322797862,-0.5900587275800652,-0.5583840969649554,-0.8278857088355647,0.21361877283931982,0.05642136580770297,0.4601218172858205,1.947147562587086,0.9960013836807011,1.4350439219122668,-1.3410698314012912,1.5679048762972825,-0.7469085998041755,0.5520146189144829,-0.17915994631617457,-1.8873306793253022,-0.11697207007830576,-0.2755357278709581,-0.4611920419629114,-1.8484378924979818,0.9489975894835171,0.287237616804326
2023,9,1,21,34.929,23.129,28.329,0.4,54.571,29.398,3.214,-20.675,-12.071,223554,0.9394,7.0,0.3131,5.0,0.2237,4.0,0.1789,3.0,0.1342,46.0,116.0,297.0,649.0,1.3333333333333333,0.0667,24.629,21.071,29.943,24.514,1.3,9.7,0.3,9.3,58.0,58.071,51.143,65.571,24.629,21.268,31.202,24.514,0.125,-2.118,3.661,-0.943,-25.875,-4.075,-36.6,-3.475,-6.125,-2.179,-9.304,4.589,0.8854560256532099,0.4647231720437686,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7352772305909867,1.8909040113679119,1.612737711422708,-0.7113180268774045,-1.4971653567215797,1.815183007021177,1.3431604149094276,-1.0572448991962717,-2.3796803757566036,0.03188498471584606,-0.15828560474095435,-0.19042133838858752,-0.206303977881628,-0.2223810295362735,-0.16735919666966917,-0.1957488282527906,-0.20981192591677864,-0.22401299125300964,1.0525528795480865,0.5023101746579096,1.833401877708497,1.0473597278170514,-0.6529026554525793,-0.23343499404281198,-0.6614906266897012,-0.1903446245458572,-0.5644521851802353,-0.3555379066964802,-0.6344673224809416,0.2635085624728989,0.98790976235639,0.4915054807762267,1.932459016135139,0.9981949930779529,-0.21142774702446948,-1.3585496529123826,1.5972955698591444,-0.7985939924226862,-1.3246518535018235,-0.17818543981368523,-1.9135337349011472,-0.11125345744889156,-1.2245577288696432,-0.44193440487901364,-1.8646605992432763,1.0378242785567067
2023,10,1,46,34.857,25.114,29.086,0.0,57.643,30.705,4.714,-32.05,-5.661,223554,2.0577,21.0,0.9394,7.0,0.3131,5.0,0.2237,4.0,0.1789,116.0,297.0,649.0,644.0,3.0,0.14183333333333334,28.329,24.629,21.071,29.943,0.4,1.3,9.7,0.3,54.571,58.0,58.071,51.143,29.398,24.629,21.268,31.202,3.214,0.125,-2.118,3.661,-20.675,-25.875,-4.075,-36.6,-12.071,-6.125,-2.179,-9.304,0.9350162426854148,0.35460488704253557,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8706368116462468,1.879226932048456,1.985247465904462,-0.7309666523210301,-1.0858440540767615,2.0384904640930546,2.0867443316335987,-1.6538830943558827,-1.1424434573767028,0.38818343382037324,0.06742330147100983,-0.15817806389752093,-0.19018325029720903,-0.2062604716330864,0.03216990940488574,-0.16726806119401263,-0.19554038382893596,-0.20977343672553597,1.657229907343934,1.0427926390776376,0.550579467957153,1.7914733942536383,-0.6968995514571591,-0.6424378235570527,-0.19036048196301325,-0.6400229904593412,-0.8575152061689041,-0.360378653514014,-0.22723551846245185,-0.49714675155089133,1.7368001848620565,0.9839972300178512,0.5414945841969835,1.8878556617880302,1.3442853152314391,-0.2227065124006543,-1.3451796465796755,1.6162417538283145,-1.0514152517878155,-1.323746276749988,-0.1495135643845308,-1.9102122038062321,-2.374829491248616,-1.220890582022094,-0.42168107036697866,-1.9120768506443753
